"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01001","5","10","71","0","2019","A","",825,8532,344242979,76609955,904663,776,40349,"",0.96,0.90,0.90,1.02,1.01,1.00,1.00,"",17,2.1,125,1.5,22185379,6.9,1629858,2.2,-39604,-4.2,39,5.3,2040,5.3
"01003","0","10","70","0","2019","A","",6471,76419,2926328541,644048523,7276799,736,38293,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",166,2.6,2368,3.2,201443574,7.4,25535351,4.1,22303,0.3,28,4.0,1496,4.1
"01003","1","10","71","0","2019","A","",35,361,21126528,0,0,1126,58576,"",0.92,0.25,0.27,0.00,0.00,1.07,1.07,"",2,6.1,8,2.3,-119731,-0.6,0,0.0,0,0.0,-32,-2.8,-1640,-2.7
"01003","2","10","71","0","2019","A","",38,1179,47424852,0,0,773,40213,"",0.86,0.49,0.48,0.00,0.00,0.99,0.99,"",0,0.0,-41,-3.4,448242,1.0,0,0.0,0,0.0,33,4.5,1718,4.5
"01003","3","10","71","0","2019","A","",89,8303,357099365,5624972,36299,827,43009,"",0.82,1.13,1.41,0.64,0.96,1.25,1.25,"",4,4.7,278,3.5,21839979,6.5,570125,11.3,4752,15.1,24,3.0,1230,2.9
"01003","5","10","71","0","2019","A","",6310,66576,2500677796,638423551,7240500,722,37561,"",1.00,1.02,1.00,1.01,1.00,0.98,0.98,"",160,2.6,2122,3.3,179275084,7.7,24965226,4.1,17551,0.2,29,4.2,1544,4.3
"01005","0","10","70","0","2019","A","",562,8239,307946374,63244227,812306,719,37376,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",7,1.3,126,1.6,-2049265,-0.7,-586022,-0.9,-55967,-6.4,-16,-2.2,-832,-2.2
"01005","1","10","71","0","2019","A","",8,54,3091895,0,0,1103,57346,"",2.41,0.34,0.37,0.00,0.00,1.08,1.08,"",1,14.3,4,8.0,222631,7.8,0,0.0,0,0.0,-4,-0.4,-231,-0.4
"01005","2","10","71","0","2019","A","",18,609,26696524,0,0,843,43843,"",4.68,2.35,2.59,0.00,0.00,1.11,1.11,"",0,0.0,14,2.4,1093760,4.3,0,0.0,0,0.0,15,1.8,795,1.8
"01005","3","10","71","0","2019","A","",31,980,35040906,785944,12675,687,35744,"",3.30,1.24,1.32,0.92,3.01,1.07,1.07,"",0,0.0,14,1.4,1351855,4.0,97378,14.1,2726,27.4,16,2.4,857,2.5
"01005","5","10","71","0","2019","A","",505,6596,243117049,62458283,799631,709,36858,"",0.93,0.94,0.93,1.01,0.99,0.99,0.99,"",6,1.2,93,1.4,-4717511,-1.9,-683400,-1.1,-58693,-6.8,-24,-3.3,-1252,-3.3
"01007","0","10","70","0","2019","A","",370,4602,197822899,33747874,577408,827,42983,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-4,-1.1,387,9.2,28831115,17.1,5318844,18.7,121573,26.7,56,7.3,2894,7.2
"01007","1","10","71","0","2019","A","",10,64,4201793,0,0,1258,65398,"",4.58,0.73,0.78,0.00,0.00,1.07,1.07,"",1,11.1,-5,-7.2,-408912,-8.9,0,0.0,0,0.0,-21,-1.6,-1103,-1.7
"01007","2","10","71","0","2019","A","",13,233,12052996,0,0,996,51767,"",5.14,1.61,1.82,0.00,0.00,1.14,1.13,"",0,0.0,16,7.4,2132297,21.5,0,0.0,0,0.0,116,13.2,6032,13.2
"01007","3","10","71","0","2019","A","",31,972,32922442,551004,3251,652,33882,"",5.01,2.19,1.93,1.20,1.09,0.88,0.88,"",0,0.0,7,0.7,1019407,3.2,78388,16.6,-1919,-37.1,17,2.7,836,2.5
"01007","5","10","71","0","2019","A","",317,3334,148645668,33196870,574157,858,44590,"",0.88,0.85,0.88,1.00,1.00,1.04,1.04,"",-4,-1.2,370,12.5,26088323,21.3,5240456,18.7,123492,27.4,63,7.9,3238,7.8
"01009","0","10","70","0","2019","A","",787,8712,312366933,59380225,632426,689,35853,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",7,0.9,177,2.1,8423893,2.8,-1690812,-2.8,-45621,-6.7,4,0.6,242,0.7
"01009","1","10","71","0","2019","A","",10,84,4396841,0,0,1012,52604,"",2.15,0.51,0.52,0.00,0.00,1.03,1.03,"",0,0.0,0,0.0,-126686,-2.8,0,0.0,0,0.0,-24,-2.3,-1248,-2.3
"01009","2","10","71","0","2019","A","",11,163,5929434,0,0,701,36470,"",2.04,0.59,0.57,0.00,0.00,0.96,0.96,"",0,0.0,0,0.0,277278,4.9,0,0.0,0,0.0,33,4.9,1723,5.0
"01009","3","10","71","0","2019","A","",44,1840,65120799,929726,9403,681,35392,"",3.35,2.19,2.41,1.15,2.87,1.10,1.10,"",0,0.0,126,7.4,2554671,4.1,44334,5.0,-700,-6.9,-21,-3.0,-1116,-3.1
"01009","5","10","71","0","2019","A","",722,6626,236919859,58450499,623023,688,35755,"",0.95,0.89,0.89,1.00,0.99,1.00,1.00,"",7,1.0,51,0.8,5718630,2.5,-1735146,-2.9,-44921,-6.7,12,1.8,590,1.7
"01011","0","10","70","0","2019","A","",178,2950,110025774,22597805,328700,717,37292,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",15,9.2,-22,-0.7,5833741,5.6,182592,0.8,-86798,-20.9,43,6.4,2239,6.4
"01011","1","10","71","0","2019","A","",6,39,2064117,0,0,1024,53268,"",5.71,0.69,0.69,0.00,0.00,1.00,1.00,"",1,20.0,4,11.4,117705,6.0,0,0.0,0,0.0,-38,-3.6,-1949,-3.5
"01011","2","10","71","0","2019","A","",10,243,11764378,0,0,933,48513,"",8.21,2.61,3.20,0.00,0.00,1.23,1.23,"",0,0.0,7,3.0,580943,5.2,0,0.0,0,0.0,23,2.5,1192,2.5
"01011","3","10","71","0","2019","A","",14,352,12542645,0,0,685,35624,"",4.71,1.24,1.32,0.00,0.00,1.07,1.06,"",0,0.0,-34,-8.8,225776,1.8,0,0.0,0,0.0,71,11.6,3674,11.5
"01011","5","10","71","0","2019","A","",149,2317,83654634,22597805,328700,694,36103,"",0.86,0.92,0.89,1.02,1.01,0.97,0.97,"",14,10.4,2,0.1,4909317,6.2,182592,0.8,-86798,-20.9,40,6.1,2093,6.2
"01013","0","10","70","0","2019","A","",486,6922,244490122,57351128,812402,679,35323,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",5,1.0,174,2.6,9394120,4.0,3322026,6.1,20290,2.6,9,1.3,483,1.4
"01013","1","10","71","0","2019","A","",6,43,1965288,0,0,888,46152,"",2.09,0.33,0.30,0.00,0.00,0.92,0.92,"",1,20.0,3,7.5,69208,3.7,0,0.0,0,0.0,-31,-3.4,-1648,-3.4
"01013","2","10","71","0","2019","A","",12,98,4393930,0,0,861,44760,"",3.61,0.45,0.54,0.00,0.00,1.20,1.19,"",0,0.0,-1,-1.0,24101,0.6,0,0.0,0,0.0,15,1.8,768,1.7
"01013","3","10","71","0","2019","A","",23,769,27333404,202590,1193,684,35544,"",2.83,1.15,1.29,0.26,0.28,1.12,1.12,"",-1,-4.2,-10,-1.3,11388,0.0,-10199,-4.8,-1308,-52.3,9,1.3,448,1.3
"01013","5","10","71","0","2019","A","",446,6012,210797500,57148538,811209,674,35064,"",0.95,1.02,1.01,1.02,1.00,0.99,0.99,"",6,1.4,182,3.1,9289423,4.6,3332225,6.2,21598,2.7,9,1.4,502,1.5
"01015","0","10","70","0","2019","A","",2541,44563,1843592624,302100057,3485456,796,41371,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-5,-0.2,127,0.3,80723350,4.6,-4370927,-1.4,-320439,-8.4,33,4.3,1699,4.3
"01015","1","10","71","0","2019","A","",45,4119,281211637,0,0,1313,68276,"",3.00,4.85,5.62,0.00,0.00,1.16,1.16,"",0,0.0,416,11.2,37641986,15.5,0,0.0,0,0.0,48,3.8,2503,3.8
"01015","2","10","71","0","2019","A","",28,1719,82220573,0,0,920,47844,"",1.61,1.22,1.33,0.00,0.00,1.09,1.09,"",1,3.7,33,2.0,3407398,4.3,0,0.0,0,0.0,21,2.3,1094,2.3
"01015","3","10","71","0","2019","A","",71,6330,258692263,1300599,10875,786,40867,"",1.67,1.48,1.63,0.32,0.60,1.10,1.10,"",-1,-1.4,-170,-2.6,-103278,0.0,44393,3.5,-829,-7.1,20,2.6,1055,2.6
"01015","5","10","71","0","2019","A","",2397,32395,1221468151,300799458,3474581,725,37705,"",0.97,0.85,0.78,1.02,1.00,0.91,0.91,"",-5,-0.2,-151,-0.5,39777244,3.4,-4415320,-1.4,-319610,-8.4,27,3.9,1397,3.8
"01017","0","10","70","0","2019","A","",623,8480,331175717,62539002,650999,751,39053,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",20,3.3,129,1.5,13487297,4.2,4124878,7.1,32413,5.2,19,2.6,1011,2.7
"01017","1","10","71","0","2019","A","",6,53,2742607,0,0,989,51424,"",1.63,0.33,0.30,0.00,0.00,0.93,0.92,"",1,20.0,1,1.9,70283,2.6,0,0.0,0,0.0,-9,-0.9,-466,-0.9
"01017","2","10","71","0","2019","A","",14,146,5556606,0,0,731,38037,"",3.29,0.55,0.50,0.00,0.00,0.92,0.92,"",-1,-6.7,1,0.7,370660,7.1,0,0.0,0,0.0,43,6.2,2251,6.3
"01017","3","10","71","0","2019","A","",57,1648,68698249,474391,2797,802,41688,"",5.47,2.02,2.40,0.56,0.83,1.19,1.19,"",-1,-1.7,7,0.4,5147392,8.1,-15672,-3.2,-97,-3.4,57,7.7,2951,7.6
"01017","5","10","71","0","2019","A","",546,6633,254178255,62064611,648202,737,38321,"",0.90,0.92,0.90,1.01,1.00,0.98,0.98,"",21,4.0,119,1.8,7898962,3.2,4140550,7.1,32510,5.3,10,1.4,513,1.4
"01019","0","10","70","0","2019","A","",412,5218,183798734,39234377,554302,677,35226,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-5,-1.2,-50,-0.9,2288399,1.3,-790058,-2.0,-63555,-10.3,14,2.1,772,2.2
"01019","1","10","71","0","2019","A","",9,47,2223784,0,0,910,47315,"",3.70,0.47,0.45,0.00,0.00,0.94,0.94,"",1,12.5,0,0.0,-94776,-4.1,0,0.0,0,0.0,-45,-4.7,-2368,-4.8
"01019","2","10","71","0","2019","A","",11,89,3731899,0,0,803,41775,"",3.90,0.54,0.61,0.00,0.00,1.12,1.12,"",0,0.0,-6,-6.3,-70520,-1.9,0,0.0,0,0.0,34,4.4,1785,4.5
"01019","3","10","71","0","2019","A","",24,1168,42187006,537694,6297,694,36106,"",3.49,2.33,2.66,1.01,2.19,1.14,1.14,"",0,0.0,17,1.5,1400642,3.4,82303,18.1,1126,21.8,12,1.8,668,1.9
"01019","5","10","71","0","2019","A","",369,3913,135656045,38696683,548005,667,34668,"",0.92,0.88,0.87,1.01,0.99,0.99,0.98,"",-5,-1.3,-63,-1.6,1053053,0.8,-872361,-2.2,-64681,-10.6,16,2.5,810,2.4
"01021","0","10","70","0","2019","A","",818,9551,373337058,71806605,770645,752,39088,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",16,2.0,40,0.4,13790210,3.8,-1189022,-1.6,-44128,-5.4,25,3.4,1284,3.4
"01021","1","10","71","0","2019","A","",7,65,2999506,0,0,885,46028,"",1.45,0.36,0.30,0.00,0.00,0.83,0.83,"",1,16.7,2,3.2,155590,5.5,0,0.0,0,0.0,12,1.4,646,1.4
"01021","2","10","71","0","2019","A","",14,251,11175034,0,0,857,44566,"",2.50,0.83,0.90,0.00,0.00,1.07,1.07,"",0,0.0,7,2.9,541892,5.1,0,0.0,0,0.0,18,2.1,958,2.2
"01021","3","10","71","0","2019","A","",35,1541,56149082,1968221,11982,701,36443,"",2.56,1.68,1.74,2.02,3.00,1.04,1.04,"",1,2.9,36,2.4,2190087,4.1,-52067,-2.6,-1070,-8.2,12,1.7,590,1.6
"01021","5","10","71","0","2019","A","",763,7695,303013436,69838384,758663,757,39381,"",0.96,0.94,0.95,0.99,0.99,1.01,1.01,"",16,2.1,-4,-0.1,10902641,3.7,-1136955,-1.6,-43058,-5.4,27,3.7,1441,3.8
"01023","0","10","70","0","2019","A","",324,3653,190231864,31790520,570528,1002,52081,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",13,4.2,-108,-2.9,341880,0.2,-2600288,-7.6,-103963,-15.4,31,3.2,1594,3.2
"01023","1","10","71","0","2019","A","",8,27,1177390,0,0,844,43878,"",4.18,0.39,0.23,0.00,0.00,0.59,0.59,"",1,14.3,1,3.8,-14898,-1.2,0,0.0,0,0.0,-55,-6.1,-2878,-6.2
"01023","2","10","71","0","2019","A","",11,70,2053884,0,0,563,29272,"",4.96,0.61,0.32,0.00,0.00,0.53,0.53,"",0,0.0,1,1.4,-5825,-0.3,0,0.0,0,0.0,-8,-1.4,-435,-1.5
"01023","3","10","71","0","2019","A","",23,364,12437555,263215,1552,658,34200,"",4.25,1.04,0.76,0.61,0.53,0.73,0.73,"",0,0.0,-9,-2.4,-66773,-0.5,-10420,-3.8,-787,-33.6,14,2.2,691,2.1
"01023","5","10","71","0","2019","A","",282,3192,174563035,31527305,568976,1052,54689,"",0.90,1.02,1.08,1.01,1.00,1.05,1.05,"",12,4.4,-101,-3.1,429376,0.2,-2589868,-7.6,-103176,-15.4,35,3.4,1812,3.4
"01025","0","10","70","0","2019","A","",660,7967,330732768,59686788,673179,798,41511,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",7,1.1,-49,-0.6,8011997,2.5,724235,1.2,-20154,-2.9,24,3.1,1254,3.1
"01025","1","10","71","0","2019","A","",14,72,4161441,0,0,1115,57999,"",3.59,0.47,0.46,0.00,0.00,0.98,0.98,"",0,0.0,3,4.3,125683,3.1,0,0.0,0,0.0,-15,-1.3,-774,-1.3
"01025","2","10","71","0","2019","A","",16,351,16511590,0,0,905,47064,"",3.54,1.40,1.49,0.00,0.00,1.07,1.07,"",0,0.0,6,1.7,633401,4.0,0,0.0,0,0.0,19,2.1,1007,2.2
"01025","3","10","71","0","2019","A","",35,1321,45948486,1348280,12433,669,34792,"",3.17,1.72,1.61,1.66,3.57,0.94,0.93,"",-2,-5.4,1,0.1,-962381,-2.1,67327,5.3,893,7.7,-15,-2.2,-760,-2.1
"01025","5","10","71","0","2019","A","",595,6224,264111251,58338508,660746,816,42433,"",0.93,0.92,0.94,1.00,0.99,1.02,1.02,"",9,1.5,-60,-1.0,8215294,3.2,656908,1.1,-21047,-3.1,33,4.2,1708,4.2
"01027","0","10","70","0","2019","A","",219,4297,152813330,33860485,338561,684,35565,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3,1.4,22,0.5,6321002,4.3,241541,0.7,27176,8.7,25,3.8,1294,3.8
"01027","1","10","71","0","2019","A","",6,50,2818495,0,0,1088,56558,"",4.64,0.61,0.68,0.00,0.00,1.12,1.12,"",0,0.0,-3,-5.7,-140166,-4.7,0,0.0,0,0.0,16,1.5,822,1.5
"01027","2","10","71","0","2019","A","",10,53,1889705,0,0,692,35994,"",6.68,0.39,0.37,0.00,0.00,0.95,0.95,"",0,0.0,3,6.0,149999,8.6,0,0.0,0,0.0,23,3.4,1200,3.4
"01027","3","10","71","0","2019","A","",17,849,26781891,646929,7752,607,31542,"",4.65,2.05,2.03,1.41,4.42,0.99,0.99,"",0,0.0,8,1.0,1093188,4.3,-11306,-1.7,440,6.0,19,3.2,978,3.2
"01027","5","10","71","0","2019","A","",186,3345,121323239,33213556,330809,697,36266,"",0.88,0.91,0.93,1.00,0.98,1.02,1.02,"",3,1.6,14,0.4,5217981,4.5,252847,0.8,26736,8.8,27,4.0,1410,4.0
"01029","0","10","70","0","2019","A","",233,2051,88198012,14432089,222950,827,43013,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",11,5.0,-73,-3.4,-5589850,-6.0,-976913,-6.3,-39436,-15.0,-22,-2.6,-1154,-2.6
"01029","1","10","71","0","2019","A","",8,49,2559463,0,0,1004,52234,"",5.81,1.25,1.07,0.00,0.00,0.85,0.85,"",1,14.3,1,2.1,-148913,-5.5,0,0.0,0,0.0,-85,-7.8,-4387,-7.7
"01029","2","10","71","0","2019","A","",11,116,3551507,0,0,590,30660,"",6.90,1.80,1.20,0.00,0.00,0.67,0.67,"",0,0.0,-13,-10.1,-30959,-0.9,0,0.0,0,0.0,57,10.7,2943,10.6
"01029","3","10","71","0","2019","A","",31,605,23335123,1209730,8916,742,38592,"",7.96,3.06,3.06,6.18,7.72,1.00,1.00,"",0,0.0,-7,-1.1,759630,3.4,-17802,-1.5,-4902,-35.5,33,4.7,1724,4.7
"01029","5","10","71","0","2019","A","",184,1281,58751919,13222359,214034,882,45864,"",0.81,0.73,0.78,0.93,0.97,1.07,1.07,"",10,5.7,-53,-4.0,-6169608,-9.5,-959111,-6.8,-34534,-13.9,-54,-5.8,-2800,-5.8
"01031","0","10","70","0","2019","A","",1071,16404,580699831,133567195,1460786,681,35400,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-4,-0.4,523,3.3,30337286,5.5,7375799,5.8,-37011,-2.5,15,2.3,745,2.1
"01031","1","10","71","0","2019","A","",17,303,19575093,0,0,1242,64587,"",2.69,0.97,1.24,0.00,0.00,1.28,1.28,"",1,6.2,17,5.9,1721622,9.6,0,0.0,0,0.0,42,3.5,2162,3.5
"01031","2","10","71","0","2019","A","",21,436,18828323,0,0,831,43209,"",2.87,0.84,0.97,0.00,0.00,1.15,1.15,"",0,0.0,8,1.9,773594,4.3,0,0.0,0,0.0,19,2.3,1000,2.4
"01031","3","10","71","0","2019","A","",43,1899,75191368,2142212,14993,762,39599,"",2.40,1.20,1.50,1.18,1.98,1.25,1.25,"",1,2.4,-4,-0.2,2177544,3.0,31537,1.5,-2514,-14.4,24,3.3,1238,3.2
"01031","5","10","71","0","2019","A","",991,13766,467105047,131424983,1445793,653,33931,"",0.95,0.98,0.94,1.00,1.00,0.96,0.96,"",-5,-0.5,502,3.8,25664526,5.8,7344262,5.9,-34497,-2.3,13,2.0,650,2.0
"01033","0","10","70","0","2019","A","",1338,24252,1092652726,187168012,2747170,866,45054,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",30,2.3,422,1.8,34370551,3.2,1321847,0.7,-151706,-5.2,12,1.4,644,1.5
"01033","1","10","71","0","2019","A","",15,590,64270060,0,0,2095,108932,"",1.90,1.28,2.17,0.00,0.00,1.70,1.70,"",1,7.1,9,1.5,1641134,2.6,0,0.0,0,0.0,24,1.2,1214,1.1
"01033","2","10","71","0","2019","A","",18,675,25905017,0,0,738,38392,"",1.97,0.88,0.71,0.00,0.00,0.80,0.80,"",0,0.0,28,4.3,1300689,5.3,0,0.0,0,0.0,7,1.0,383,1.0
"01033","3","10","71","0","2019","A","",46,3269,143100084,1512736,11409,842,43782,"",2.06,1.40,1.52,0.60,0.80,1.08,1.08,"",0,0.0,32,1.0,6831534,5.0,61820,4.3,-2572,-18.4,32,4.0,1683,4.0
"01033","5","10","71","0","2019","A","",1260,19719,859377565,185655276,2735761,838,43582,"",0.97,0.95,0.92,1.01,1.00,0.97,0.97,"",30,2.4,355,1.8,24597194,2.9,1260027,0.7,-149134,-5.2,9,1.1,472,1.1
"01035","0","10","70","0","2019","A","",255,3431,127681998,26699026,379772,716,37218,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-0.4,-44,-1.3,3109551,2.5,324466,1.2,-17272,-4.4,27,3.9,1372,3.8
"01035","1","10","71","0","2019","A","",5,26,1277020,0,0,933,48494,"",3.32,0.40,0.37,0.00,0.00,0.92,0.92,"",1,25.0,0,0.0,21852,1.7,0,0.0,0,0.0,-7,-0.7,-409,-0.8
"01035","2","10","71","0","2019","A","",12,187,8361975,0,0,862,44836,"",6.88,1.73,1.96,0.00,0.00,1.14,1.14,"",0,0.0,9,5.1,302179,3.7,0,0.0,0,0.0,-8,-0.9,-401,-0.9
"01035","3","10","71","0","2019","A","",21,501,17812960,132775,781,684,35543,"",4.93,1.52,1.62,0.37,0.40,1.07,1.06,"",0,0.0,-4,-0.8,182001,1.0,-6373,-4.6,-40,-4.9,12,1.8,601,1.7
"01035","5","10","71","0","2019","A","",218,2717,100230043,26566251,378991,710,36894,"",0.88,0.93,0.92,1.01,1.00,0.99,0.99,"",-1,-0.5,-50,-1.8,2603519,2.7,330839,1.3,-17232,-4.3,31,4.6,1609,4.6
"01037","0","10","70","0","2019","A","",128,1441,52255550,10245524,137483,697,36268,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",7,5.8,35,2.5,234368,0.5,126329,1.2,-16585,-10.8,-15,-2.1,-731,-2.0
"01037","1","10","71","0","2019","A","",6,18,833970,0,0,895,46547,"",7.94,0.66,0.59,0.00,0.00,0.90,0.90,"",1,20.0,0,0.0,30485,3.8,0,0.0,0,0.0,20,2.3,1067,2.3
"01037","2","10","71","0","2019","A","",10,46,1517390,0,0,633,32927,"",11.42,1.01,0.87,0.00,0.00,0.86,0.86,"",0,0.0,1,2.2,8985,0.6,0,0.0,0,0.0,-6,-0.9,-286,-0.9
"01037","3","10","71","0","2019","A","",14,273,8545472,81513,479,603,31350,"",6.54,1.97,1.89,0.59,0.67,0.97,0.96,"",-2,-12.5,-7,-2.5,174446,2.1,6383,8.5,36,8.1,28,4.9,1471,4.9
"01037","5","10","71","0","2019","A","",99,1104,41358718,10164011,137004,720,37454,"",0.80,0.90,0.93,1.01,1.00,1.03,1.03,"",8,8.8,41,3.9,20452,0.0,119946,1.2,-16621,-10.8,-28,-3.7,-1443,-3.7
"01039","0","10","70","0","2019","A","",913,12240,451892135,93628603,1834041,710,36918,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",19,2.1,-133,-1.1,1966364,0.4,-2338624,-2.4,-123730,-6.3,11,1.6,555,1.5
"01039","1","10","71","0","2019","A","",14,122,6864753,0,0,1086,56461,"",2.60,0.52,0.56,0.00,0.00,1.07,1.07,"",1,7.7,6,5.2,160072,2.4,0,0.0,0,0.0,-22,-2.0,-1131,-2.0
"01039","2","10","71","0","2019","A","",16,361,16583560,0,0,884,45959,"",2.56,0.94,1.10,0.00,0.00,1.17,1.17,"",1,6.7,-7,-1.9,275417,1.7,0,0.0,0,0.0,32,3.8,1643,3.7
"01039","3","10","71","0","2019","A","",46,1531,54554367,319707,1887,685,35627,"",3.01,1.30,1.40,0.25,0.20,1.08,1.08,"",-1,-2.1,-35,-2.2,1358424,2.6,6301,2.0,39,2.1,32,4.9,1667,4.9
"01039","5","10","71","0","2019","A","",837,10227,373889455,93308896,1832154,703,36560,"",0.94,0.98,0.97,1.02,1.01,0.99,0.99,"",18,2.2,-96,-0.9,172451,0.0,-2344925,-2.5,-123769,-6.3,7,1.0,356,1.0
"01041","0","10","70","0","2019","A","",263,3742,144326474,31619670,584218,742,38568,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",5,1.9,57,1.5,8800020,6.5,1536008,5.1,20920,3.7,35,5.0,1794,4.9
"01041","1","10","71","0","2019","A","",10,41,1755199,0,0,827,42984,"",6.44,0.57,0.45,0.00,0.00,0.78,0.78,"",1,11.1,2,5.1,9041,0.5,0,0.0,0,0.0,-34,-3.9,-1789,-4.0
"01041","2","10","71","0","2019","A","",9,45,1929150,0,0,823,42791,"",5.00,0.38,0.40,0.00,0.00,1.05,1.05,"",0,0.0,0,0.0,-8642,-0.4,0,0.0,0,0.0,-2,-0.2,-112,-0.3
"01041","3","10","71","0","2019","A","",22,539,18780162,305717,1800,671,34875,"",5.01,1.50,1.51,0.71,0.59,1.01,1.01,"",0,0.0,-1,-0.2,378247,2.1,11537,3.9,69,4.0,16,2.4,818,2.4
